id,dataset,subset,test,input_question,ground_truth,alexa
676,blimp,irregular_forms,irregular_past_participle_adjectives,"The worn shawls are green., The wore shawls are green.","sentence_good, sentence_bad",TODO
478,blimp,irregular_forms,irregular_past_participle_verbs,"Many ladies drove to some closet., Many ladies driven to some closet.","sentence_good, sentence_bad",TODO
895,blimp,irregular_forms,irregular_past_participle_adjectives,"The broke bike is bad., The broken bike is bad.","sentence_bad, sentence_good",TODO
397,blimp,control_raising,tough_vs_raising_2,"Amy isn't bound to propose to exist., Amy isn't tough to propose to exist.","sentence_good, sentence_bad",TODO
362,blimp,control_raising,tough_vs_raising_1,"The Borgias' ex-girlfriends were bound to work with., The Borgias' ex-girlfriends were difficult to work with.","sentence_bad, sentence_good",TODO
808,blimp,control_raising,tough_vs_raising_1,"Holly wasn't apt to disagree with., Holly wasn't interesting to disagree with.","sentence_bad, sentence_good",TODO
104,blimp,binding,principle_A_domain_1,"These men say that every skateboard won't shock them., These men say that every skateboard won't shock themselves.","sentence_good, sentence_bad",TODO
40,blimp,binding,principle_A_c_command,"The men who weren't confusing Valerie were kissing herself., The men who weren't confusing Valerie were kissing themselves.","sentence_bad, sentence_good",TODO
194,blimp,binding,principle_A_c_command,"Many essays that bore Michelle scared herself., Many essays that bore Michelle scared themselves.","sentence_bad, sentence_good",TODO
251,blimp,anaphor_agreement,anaphor_gender_agreement,"Maria talks to herself., Maria talks to itself.","sentence_good, sentence_bad",TODO
886,blimp,anaphor_agreement,anaphor_gender_agreement,"Tammy is hiding itself., Tammy is hiding herself.","sentence_bad, sentence_good",TODO
156,blimp,anaphor_agreement,anaphor_gender_agreement,"Anna shouldn't appreciate itself., Anna shouldn't appreciate herself.","sentence_bad, sentence_good",TODO
966,blimp,argument_structure,transitive,"Vanessa's granddaughters did clean the shoes., Vanessa's granddaughters did smile the shoes.","sentence_good, sentence_bad",TODO
613,blimp,argument_structure,inchoative,"This rice baked., This rice took.","sentence_good, sentence_bad",TODO
165,blimp,s-selection,animate_subject_trans,"Some ladder is talking to Gregory., Melissa is talking to Gregory.","sentence_bad, sentence_good",TODO
567,blimp,island_effects,coordinate_structure_constraint_complex_left_branch,"Whose commentaries was Rachel examining and Travis arguing about?, Whose was Rachel examining commentaries and Travis arguing about?","sentence_good, sentence_bad",TODO
256,blimp,island_effects,adjunct_island,"Who would Adam listen to Patrick without stunning?, Who would Adam listen to without stunning Patrick?","sentence_bad, sentence_good",TODO
620,blimp,quantifiers,superlative_quantifiers_1,"No guy does insult fewer than nine banks., No guy does insult at most nine banks.","sentence_good, sentence_bad",TODO
138,blimp,quantifiers,superlative_quantifiers_2,"No teenager was skated around at least eight grocery stores., Some teenager was skated around at least eight grocery stores.","sentence_bad, sentence_good",TODO
817,blimp,subject_verb_agreement,distractor_agreement_relational_noun,"The sons of Allison haven't wasted away., The sons of Allison hasn't wasted away.","sentence_good, sentence_bad",TODO
