row_nr,anno_label,label
0,"[8, 5, 9, 13, 10, 3, 12, 1, 2, 11, 4, 6, 7, 14]","[8, 5, 9, 13, 10, 12, 1, 2, 11, 4, 7, 3, 6, 14]"
27,"[1, 7, 4, 5, 3, 2, 6]","[1, 7, 4, 5, 3, 2, 6]"
35,"[3, 1, 4, 6, 9, 5, 11, 2, 10, 8, 7]","[3, 1, 4, 6, 9, 5, 11, 2, 10, 8, 7]"
46,"[7, 5, 6, 9, 2, 4, 8, 1, 3]","[7, 5, 6, 9, 2, 4, 8, 1, 3]"
48,"[10, 8, 7, 4, 9, 6, 5, 3, 2, 1]","[10, 7, 8, 4, 5, 9, 3, 6, 2, 1]"
90,"[1, 2, 5, 4, 3]","[1, 2, 5, 4, 3]"
105,"[3, 2, 4, 1]","[3, 2, 1, 4]"
129,"[3, 2, 1, 4]","[3, 2, 1, 4]"
162,"[2, 1, 3]","[2, 1, 3]"
175,"[3, 2, 1]","[3, 2, 1]"
195,"[2, 3, 1]","[2, 3, 1]"
201,"[1, 3, 2, 4]","[1, 3, 2, 4]"
204,"[3, 1, 4, 2]","[3, 1, 4, 2]"
215,"[1, 3, 2]","[1, 3, 2]"
218,"[1, 3, 2, 4]","[1, 3, 2, 4]"
237,"[4, 5, 1, 3, 2]","[4, 5, 1, 3, 2]"
251,"[3, 2, 1]","[3, 1, 2]"
261,"[2, 3, 1, 4]","[2, 3, 1, 4]"
274,"[2, 4, 3, 1]","[2, 4, 3, 1]"
298,"[3, 2, 1]","[3, 2, 1]"
358,"[1, 3, 2]","[1, 3, 2]"
441,"[1, 2, 3]","[1, 2, 3]"
454,"[7, 5, 2, 4, 1, 6, 8, 9, 3]","[9, 3, 6, 8, 2, 5, 7, 4, 1]"
481,"[2, 3, 1]","[2, 3, 1]"
618,"[2, 1, 5, 3, 4, 6]","[2, 1, 5, 3, 4, 6]"
621,"[7, 2, 6, 1, 3, 8, 4, 5]","[7, 2, 6, 5, 1, 3, 8, 4]"
623,"[4, 5, 2, 1, 3]","[4, 3, 5, 2, 1]"
651,"[5, 2, 3, 1, 4, 6]","[5, 2, 3, 1, 4, 6]"
681,"[5, 6, 1, 7, 2, 4, 3]","[5, 6, 1, 7, 2, 4, 3]"
697,"[3, 2, 4, 5, 1]","[1, 5, 3, 2, 4]"
728,"[3, 5, 2, 1, 4]","[3, 2, 5, 1, 4]"
