id,dataset,subset,test,input_question,ground_truth,alexa
823,blimp,ellipsis,ellipsis_n_bar_2,Melinda could visit three nieces of and Jessica could visit two hopeful nieces of.,sentence_good,TODO
34,blimp,ellipsis,ellipsis_n_bar_2,A lady's contractors bore a lot of grandmothers of and those essays bore a few upset grandmothers of.,sentence_good,TODO
544,blimp,ellipsis,ellipsis_n_bar_2,Suzanne's grandmother discussed four hidden ex-wives and Gregory discussed five nice.,sentence_bad,TODO
0,blimp,ellipsis,ellipsis_n_bar_2,A friend of Pamela hasn't attacked one unemployed person and Ann hasn't attacked more unsure.,sentence_bad,TODO
783,blimp,binding,principle_A_case_2,Kevin couldn't imagine himself cleaning every high school.,sentence_good,TODO
199,blimp,binding,principle_A_case_2,Pedestrians do think about themselves escaping from glaciers.,sentence_good,TODO
283,blimp,binding,principle_A_case_2,Sherry thought about herself questions every adult.,sentence_bad,TODO
749,blimp,binding,principle_A_case_2,Many people think about themselves disgusts Guy.,sentence_bad,TODO
281,blimp,quantifiers,existential_there_quantifiers_1,There is a legislature thinking about who say the carriage hadn't impressed Sara.,sentence_good,TODO
405,blimp,quantifiers,existential_there_quantifiers_1,There wasn't an association appreciating Angela.,sentence_good,TODO
891,blimp,quantifiers,existential_there_quantifiers_1,There isn't every son of Florence weeping.,sentence_bad,TODO
744,blimp,quantifiers,existential_there_quantifiers_1,There wasn't every popsicle evaporating.,sentence_bad,TODO
586,blimp,argument_structure,causative,Rodney brightened some screens.,sentence_good,TODO
295,blimp,argument_structure,causative,Carl hadn't worried that association.,sentence_good,TODO
658,blimp,argument_structure,causative,Scott isn't existing some window.,sentence_bad,TODO
381,blimp,argument_structure,causative,Winston Churchill spoke up Marie.,sentence_bad,TODO
926,blimp,subject_verb_agreement,distractor_agreement_relative_clause,Many students who have insulted Janet attack Bradley.,sentence_good,TODO
712,blimp,subject_verb_agreement,distractor_agreement_relative_clause,All drivers that loved Alan do attack Melanie.,sentence_good,TODO
